# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res30.snc -out forces_Re100_res30.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res30.snc:
#	Face (cyl): 136/2378
# Number of measurements selected:
#       136 fields_res30.snc
#       136 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519903103466
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  4.000000018872548 3.9921069580252535
# Integrated surface area (sum(n*A), mks, timestep 0):  3.3837899669764138e-09 -2.5537417666643414e-11
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      0.99999999999999889
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.003030804031 -1.04309e-06  3.71997e-08
0.6091916102      5.48128 -0.000242228
1.215352416       2.31413  6.29045e-05
1.821513223       1.49927  0.000258076
2.427674029       1.59746  0.000312161
3.033834835       1.79265  0.000308871
3.639995641       1.85871  0.000288894
4.246156448       1.84745  0.000258322
4.852317254       1.81125  0.000229146
5.45847806        1.77339  0.000201586
6.064638866       1.74046  0.000171258
6.670799672       1.71255  0.000147625
7.276960479       1.66463  0.000123913
7.883121285       2.04202  5.47364e-05
8.489282091       2.25034  0.000103185
9.095442897       1.56697  5.91384e-05
9.701603703        1.5672  4.03236e-05
10.30776451        1.6633  6.49326e-05
10.91392532       1.71003  7.23925e-05
11.52008612       1.77326  7.56092e-05
12.12624693       1.74368    9.119e-05
12.73240773       1.68102  0.000114531
13.33856854       1.65456  0.000144453
13.94472935       1.65666  0.000168589
14.55089015        1.6602  0.000191517
15.15705096       1.63546  0.000222445
15.76321177       1.60618  0.000259552
16.36937257       1.76947  0.000241856
16.97553338       1.78914  0.000253524
17.58169418       1.58253   0.00026687
18.18785499       1.52377  0.000289217
18.7940158        1.63013  0.000257153
19.4001766        1.66774   0.00022588
20.00633741       1.62827  0.000204253
20.61249822       1.60502  0.000175581
21.21865902       1.60541  0.000147429
21.82481983       1.61272  0.000116099
22.43098063       1.61679  9.28402e-05
23.03714144       1.60862  6.42551e-05
23.64330225       1.56269  4.37007e-05
24.24946305       1.51076  1.73828e-05
24.85562386       1.61012  4.20618e-05
25.46178466       1.51618  6.18802e-05
26.06794547       1.37758  5.80416e-05
26.67410628       1.55178  6.29528e-05
27.28026708       1.65933  0.000109213
27.88642789       1.68728  0.000144587
28.4925887        1.65722  0.000182158
29.0987495        1.54537  0.000225576
29.70491031       1.41287  0.000273478
30.31107111       1.45338    0.0003203
30.91723192       1.59014    0.0003518
31.52339273       1.69365  0.000349878
32.12955353        1.6536  0.000342223
32.73571434       1.61262  0.000358701
33.34187515       1.68518  0.000295348
33.94803595       1.63325  0.000283017
34.55419676       1.61402  0.000225744
35.16035756       1.56332  0.000169322
35.76651837       1.56464  0.000131177
36.37267918       1.69889  5.36756e-05
36.97883998       1.79261 -2.77165e-05
37.58500079       1.69021 -6.57552e-05
38.1911616        1.59843 -9.14291e-05
38.7973224        1.60692 -9.98775e-05
39.40348321       1.57567 -9.12185e-05
40.00964401       1.55427 -6.39382e-05
40.61580482       1.57099 -4.75213e-05
41.22196563       1.60633  2.66596e-05
41.82812643       1.56678  0.000134179
42.43428724       1.67138  0.000212907
43.04044805       1.75685  0.000259247
43.64660885       1.58263  0.000342866
44.25276966       1.47031  0.000460864
44.85893046         1.521  0.000545653
45.46509127       1.56473  0.000561407
46.07125208       1.54906  0.000576331
46.67741288       1.55877  0.000576227
47.28357369       1.60395  0.000535182
47.88973449       1.58214  0.000463272
48.4958953        1.47653  0.000386324
49.10205611       1.50413  0.000285179
49.70821691       1.60489  0.000129023
50.31437772       1.58543 -2.49832e-05
50.92053853       1.54091 -0.000146593
51.52669933       1.50836 -0.000222732
52.13286014       1.50078 -0.000353618
52.73902094       1.52854 -0.000487709
53.34518175       1.56688 -0.000518617
53.95134256        1.5825 -0.000486511
54.55750336       1.54718  -0.00043949
55.16366417       1.50562 -0.000354762
55.76982498       1.47278  -0.00022434
56.37598578       1.48238 -6.10638e-05
56.98214659       1.55895  0.000115297
57.58830739       1.56706  0.000366569
58.1944682        1.53029  0.000633716
58.80062901        1.5331  0.000841339
59.40678981       1.53568  0.000951644
60.01295062       1.55273   0.00109339
60.61911143       1.57998    0.0012706
61.22527223        1.5733   0.00132094
61.83143304       1.54549   0.00120731
62.43759384       1.52687   0.00103237
63.04375465       1.51319  0.000836773
63.64991546       1.51325  0.000599155
64.25607626       1.56362  0.000293342

