# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res50.snc -out forces_Re100_res50.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res50.snc:
#	Face (cyl): 214/3956
# Number of measurements selected:
#       214 fields_res50.snc
#       214 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519666671791
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  4.0000000050157398 3.9921069354913827
# Integrated surface area (sum(n*A), mks, timestep 0):  2.0302735811994488e-09 1.4013892472679312e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.001818482419  2.28609e-07  3.60724e-08
0.3655149661      8.03273  5.80242e-05
0.7292114499      4.53793  0.000111366
1.092907934       2.69112  9.78582e-05
1.456604417        1.8049  7.36453e-05
1.820300901       1.49999  5.77891e-05
2.183997385       1.51488  4.84609e-05
2.547693869       1.64485   4.6514e-05
2.911390352       1.76375  4.06935e-05
3.275086836       1.83229  3.54132e-05
3.63878332        1.85748  3.23404e-05
4.002479803       1.85558  2.65369e-05
4.366176287       1.83941  1.96374e-05
4.729872771       1.81724  1.33078e-05
5.093569255       1.79383  6.63712e-06
5.457265738       1.77148 -3.03115e-07
5.820962222       1.75095 -5.11137e-06
6.184658706       1.73247  -1.1455e-05
6.548355189       1.71573 -1.59573e-05
6.912051673       1.70041 -2.42184e-05
7.275748157       1.66761  -2.9102e-05
7.639444641       1.54844 -3.96834e-05
8.003141124       2.26486 -3.72456e-05
8.366837608       2.42792 -4.57307e-05
8.730534092        2.0241 -4.73541e-05
9.094230576       1.60391 -5.31153e-05
9.457927059       1.51715  -5.7696e-05
9.821623543       1.57833  -6.1432e-05
10.18532003       1.62938 -6.20016e-05
10.54901651       1.66851 -6.05131e-05
10.91271299       1.70081 -5.67269e-05
11.27640948       1.77647 -5.62314e-05
11.64010596       1.82869  -5.4766e-05
12.00380245       1.80551 -5.23971e-05
12.36749893       1.74673 -4.86659e-05
12.73119541        1.6867 -4.48758e-05
13.0948919        1.64825 -4.12809e-05
13.45858838       1.63735 -3.14366e-05
13.82228486       1.64118 -2.65525e-05
14.18598135       1.64867 -2.26133e-05
14.54967783       1.65495 -1.37987e-05
14.91337432       1.65392 -9.90274e-06
15.2770708        1.62617 -4.01148e-06
15.64076728       1.61236 -2.94451e-07
16.00446377       1.62296  8.14837e-06
16.36816025       1.76183  1.29275e-05
16.73185673       1.83229   9.3074e-06
17.09555322       1.76118  8.59564e-06
17.4592497        1.62816  1.48546e-05
17.82294619       1.53167  1.72774e-05
18.18664267       1.51831  1.63219e-05
18.55033915       1.58215  1.38793e-05
18.91403564       1.64263  1.20743e-05
19.27773212       1.66947  4.86001e-06
19.6414286        1.66083   6.0778e-07
20.00512509        1.6283 -3.41052e-06
20.36882157       1.60278 -8.89767e-06
20.73251805        1.5929 -1.20536e-05
21.09621454       1.59199 -1.91544e-05
21.45991102       1.59627  -2.8025e-05
21.82360751       1.60349 -3.69889e-05
22.18730399       1.61022 -4.17525e-05
22.55100047       1.61414 -5.15268e-05
22.91469696       1.61282 -5.31886e-05
23.27839344       1.60048 -5.62896e-05

