# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res10.snc -out forces_Re100_res10.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res10.snc:
#	Face (cyl): 70/812
# Number of measurements selected:
#        70 fields_res10.snc
#        70 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519058704408
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  3.9999999708608569 3.9921068929862669
# Integrated surface area (sum(n*A), mks, timestep 0):  -2.5378424639566077e-09 5.7429513436457746e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.009092412093 -9.62682e-07 -7.16939e-07
1.827574831       1.59423  0.000259695
3.646057249        1.9084  0.000263112
5.464539668       1.82046  0.000130812
7.283022087       1.67333  2.23482e-05
9.101504505       1.54135 -4.36496e-05
10.91998692       1.74963  1.67989e-05
12.73846934       1.69469  0.000148682
14.55695176       1.68616  0.000278355
16.37543418       1.83713  0.000340271
18.1939166         1.5727  0.000398615
20.01239902       1.64997  0.000258623
21.83088144       1.64941  0.000130293
23.64936385       1.57597  2.89278e-05
25.46784627       1.46839  7.90772e-05
27.28632869       1.69867  0.000183042
29.10481111        1.5384  0.000359846
30.92329353       1.66299  0.000518334
32.74177595       1.68282  0.000482447
34.56025837       1.58407  0.000302306
36.37874078       1.76655  3.14608e-05
38.1972232        1.60611 -0.000156997
40.01570562       1.59956 -0.000129707
41.83418804       1.62501  0.000198891
43.65267046       1.55091  0.000534992
45.47115288       1.63074  0.000835383
47.2896353        1.62594  0.000802754
49.10811772       1.68616  0.000382613
50.92660013       1.59543 -0.000170626
52.74508255        1.6122 -0.000737758
54.56356497       1.59467 -0.000671735
56.38204739       1.62959 -0.000121767
58.20052981       1.59172  0.000948168
60.01901223       1.62497   0.00178414
61.83749465       1.59495    0.0017467
63.65597706       1.61874  0.000920626
65.47445948       1.56605 -0.000789593
67.2929419         1.6217  -0.00199649
69.11142432       1.58247   -0.0025754
70.92990674       1.55011  -0.00119915
72.74838916       1.55254   0.00129035
74.56687158       1.59612   0.00391788
76.38535399       1.55665   0.00518616
78.20383641       1.54529   0.00330318
80.02231883       1.53696 -0.000354319
81.84080125       1.59148  -0.00523596
83.65928367       1.53717  -0.00774825
85.47776609       1.56383  -0.00665435
87.29624851       1.54776 -0.000480752
89.11473093       1.58106   0.00735917
90.93321334       1.55548     0.013995
92.75169576       1.57423    0.0135676
94.57017818       1.54578   0.00521919
96.3886606        1.57397  -0.00845968
98.20714302       1.56757   -0.0218547
100.0256254       1.58053   -0.0236332
101.8441079         1.561   -0.0133175
103.6625903       1.58899    0.0126368
105.4810727       1.59749     0.034959
107.2995551       1.60944    0.0428446
109.1180375       1.61696    0.0213959
110.9365199       1.61138   -0.0218569
112.7550024       1.64876   -0.0606713
114.5734848       1.63979   -0.0669098
116.3919672        1.6694   -0.0200676
118.2104496       1.63932    0.0539054
120.028932        1.69471     0.109089
121.8474145       1.66804    0.0813899
123.6658969        1.7073   -0.0156912
125.4843793       1.68127    -0.130441
127.3028617       1.72432    -0.148834
129.1213441       1.70689   -0.0446433
130.9398266       1.74165      0.12175
132.758309        1.74719      0.21279
134.5767914       1.73758     0.116256
136.3952738       1.74931   -0.0925773
138.2137562       1.77465    -0.257261
140.0322386       1.79852    -0.195747
141.8507211       1.74413      0.05319
143.6692035       1.79293     0.286675
145.4876859       1.81653     0.275453
147.3061683       1.81518   0.00450924
149.1246507       1.78501    -0.291925
150.9431332       1.82903    -0.348164
152.7616156       1.84608   -0.0734283
154.580098        1.82493     0.278653
156.3985804       1.84068     0.393578
158.2170628       1.83424     0.155786
160.0355453       1.87023    -0.253268
161.8540277       1.85158    -0.428842
163.6725101       1.85828    -0.214301
165.4909925       1.85739      0.20345
167.3094749       1.89987      0.45909
169.1279573       1.86264     0.270092
170.9464398       1.86696    -0.161069
172.7649222       1.91683    -0.452181
174.5834046       1.88611    -0.326086
176.401887        1.86797     0.113438
178.2203694        1.9142     0.443691
180.0388519       1.92802     0.356608
181.8573343       1.85392   -0.0656874
183.6758167       1.91352    -0.420044
185.4942991        1.9326    -0.384071
187.3127815       1.88314    0.0200269
189.1312639       1.88385     0.397589
190.9497464       1.93682     0.393415
192.7682288       1.89129    0.0306797
194.5867112       1.87452    -0.366652
196.4051936       1.93044    -0.404522
198.223676        1.88614    -0.071966
200.0421585       1.87375     0.332591
201.8606409       1.91032     0.413583
203.6791233       1.90385     0.117946
205.4976057       1.85641    -0.296987
207.3160881       1.90301    -0.426156
209.1345706       1.90239    -0.162691
210.953053        1.86122     0.254163
212.7715354       1.88907     0.434085
214.5900178       1.89708     0.211413
216.4085002       1.86291    -0.208812
218.2269826       1.87899    -0.434186
220.0454651       1.90525     -0.25786
221.8639475       1.85223     0.160292
223.6824299        1.8778     0.428736
225.5009123       1.90656     0.301569
227.3193947       1.86167    -0.103515
229.1378772       1.86551    -0.416779
230.9563596       1.90724    -0.336114
232.774842        1.86893    0.0454194
234.5933244       1.86247     0.392052
236.4118068       1.90774     0.366979
238.2302893       1.86852   0.00939841
240.0487717       1.86153    -0.362962
241.8672541       1.90714    -0.387481
243.6857365       1.87817   -0.0643904
245.5042189       1.85397     0.329587
247.3227013       1.90528      0.40801
249.1411838       1.88772     0.116003
250.9596662       1.85381    -0.289692
252.7781486       1.89992      -0.4195
254.596631        1.89214    -0.168303
256.4151134       1.85526     0.248234
258.2335959       1.89684     0.427348
260.0520783       1.89857     0.214904
261.8705607       1.85499    -0.201392
263.6890431       1.88923    -0.429361
265.5075255       1.91007    -0.260944
267.326008         1.8581      0.15331
269.1444904       1.88259     0.424246
270.9629728       1.91386     0.302291
272.7814552         1.865   -0.0999876
274.5999376       1.87716    -0.411403
276.41842         1.91527    -0.336501
278.2369025       1.86971    0.0475339
280.0553849       1.86906     0.391565
281.8738673       1.92018     0.365966
283.6923497       1.87307   0.00561959
285.5108321       1.86432    -0.366825
287.3293146       1.91445    -0.388948
289.147797        1.88266   -0.0581211
290.9662794       1.85963     0.335829
292.7847618       1.90906     0.407741
294.6032442       1.88749     0.109863
296.4217266        1.8553     -0.29893
298.2402091       1.90675    -0.419989
