# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res40.snc -out forces_Re20_res40.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res40.snc:
#	Face (cyl): 172/3164
# Number of measurements selected:
#       172 fields_res40.snc
#       172 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519386529926
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  3.9999999940416311 3.992106911423869
# Integrated surface area (sum(n*A), mks, timestep 0):  6.6488508795869983e-09 4.2213419929743035e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.002273103023 -1.17235e-07 -2.02907e-07
0.4568937077      9.71504 -0.000226922
0.9115143123      6.07805  -0.00035625
1.366134917       4.26386  -0.00028417
1.820755522       3.44249  -0.00020836
2.275376126       3.13708 -0.000318015
2.729996731       3.05245 -0.000272443
3.184617336       3.03242 -0.000257494
3.63923794         3.0181 -0.000245367
4.093858545       2.99716 -0.000233084
4.54847915        2.97105 -0.000225514
5.003099754       2.94302 -0.000218364
5.457720359       2.91528  -0.00021449
5.912340964       2.88894 -0.000205843
6.366961568       2.86425 -0.000201457
6.821582173       2.83532  -7.7666e-05
7.276202778       2.80886 -0.000196484
7.730823382       3.03818 -0.000210538
8.185443987       3.40564 -0.000227168
8.640064592        3.4142  -0.00011974
9.094685196       3.16372 -0.000114485
9.549305801       2.95553 -8.88534e-05
10.00392641       2.88527 -0.000139597
10.45854701       2.88996  -0.00014755
10.91316761       2.92656 -0.000188249
11.36778822       2.98589 -7.85361e-05
11.82240882       3.03009 -8.08185e-05
12.27702943       3.02775 -8.60505e-05
12.73165003       2.99423 -0.000193329
13.18627064       2.95831 -0.000132523
13.64089124       2.93434 -0.000130564
14.09551185        2.9217 -0.000131163
14.55013245       2.91162 -0.000128563
15.00475306       2.89647 -0.000184729
15.45937366       2.88903 -0.000181944
15.91399427       2.92235 -0.000180983
16.36861487       2.98933 -0.000131022
16.82323548        3.0262 -0.000189007
17.27785608       2.99613  -8.6254e-05
17.73247668       2.92901  -8.1061e-05
18.18709729       2.88127 -7.86435e-05
18.64171789       2.87932 -0.000177239
19.0963385        2.90491 -0.000182188
19.5509591        2.92578 -0.000185785
20.00557971       2.92767 -0.000186768
20.46020031       2.91679 -0.000185932
20.91482092       2.90481 -0.000128923
21.36944152       2.89784  -0.00013088
21.82406213       2.89526  -0.00012991
22.27868273       2.89293 -0.000182119
22.73330334       2.88423 -0.000180457
23.18792394       2.86383  -0.00012736
23.64254455       2.83645 -0.000139815
24.09716515       2.81753 -0.000139911
24.55178575       2.80877 -0.000139947
25.00640636       2.79032 -0.000136589
25.46102696       2.75465 -0.000132881
25.91564757       2.72701 -0.000129911
26.37026817       2.73724 -0.000166841
26.82488878       2.78637 -7.38311e-05
27.27950938       2.84943 -7.27113e-05
27.73412999       2.89805 -7.34828e-05
28.18875059        2.9145    -7.64e-05
28.6433712        2.89283 -7.96852e-05
29.0979918        2.84124 -0.000127505
29.55261241       2.78589 -0.000136843
30.00723301       2.75898 -0.000132523
30.46185362       2.77538 -0.000119245
30.91647422        2.8246 -7.23201e-05
31.37109482       2.88462 -0.000180813
31.82571543       2.93845 -0.000184272
32.28033603       2.97895 -0.000190469
32.73495664       3.00316 -0.000192797
33.18957724       3.01051 -0.000189756
33.64419785       3.00458 -0.000190443
34.09881845       2.99167 -0.000191992
34.55343906       2.97892 -8.28379e-05
35.00805966       2.97622 -8.46949e-05
35.46268027       2.99364 -0.000186925
35.91730087       3.03323 -8.55847e-05
36.37192148       3.08189 -8.32729e-05

