# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res40.snc -out forces_Re100_res40.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res40.snc:
#	Face (cyl): 172/3164
# Number of measurements selected:
#       172 fields_res40.snc
#       172 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519386529926
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  3.9999999940416311 3.992106911423869
# Integrated surface area (sum(n*A), mks, timestep 0):  6.6488508795869983e-09 4.2213419929743035e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.002273103023 -9.91991e-08 -2.34471e-07
0.4568937077      6.95693 -0.000265881
0.9115143123      3.46376  -0.00015954
1.366134917       1.96058 -5.80205e-06
1.820755522       1.49908  0.000103675
2.275376126       1.54188  0.000146452
2.729996731       1.70897   0.00015334
3.184617336       1.81944  0.000153369
3.63923794        1.85756  0.000152568
4.093858545       1.85257  0.000151006
4.54847915        1.82892  0.000153563
5.003099754       1.79991   0.00015649
5.457720359       1.77181  0.000155645
5.912340964        1.7466  0.000161924
6.366961568       1.72438  0.000168449
6.821582173       1.70464   0.00017403
7.276202778       1.66635  0.000185116
7.730823382       1.70856  0.000182301
8.185443987       2.41762  0.000188493
8.640064592        2.1131  0.000203749
9.094685196       1.58798   0.00019399
9.549305801       1.53209  0.000198276
10.00392641       1.61558  0.000213417
10.45854701       1.66942  0.000224655
10.91316761       1.70578  0.000224094
11.36778822       1.78094  0.000225802
11.82240882       1.79757  0.000215913
12.27702943       1.74675  0.000214718
12.73165003       1.68534  0.000213935
13.18627064        1.6512  0.000209842
13.64089124       1.64733   0.00020565
14.09551185       1.65294  0.000200802
14.55013245       1.65803  0.000192193
15.00475306       1.65001  0.000184682
15.45937366        1.6173  0.000183396
15.91399427       1.60952   0.00018831
16.36861487        1.7641  0.000148888
16.82323548       1.82393  0.000155908
17.27785608       1.69252  0.000159314
17.73247668       1.54887  0.000150929
18.18709729       1.52078  0.000168815
18.64171789        1.6022  0.000158259
19.0963385        1.66052  0.000151542
19.5509591        1.66423  0.000152883
20.00557971       1.62821  0.000156456
20.46020031       1.60296  0.000164293
20.91482092       1.59745  0.000170521
21.36944152        1.6006  0.000182962
21.82406213       1.60777  0.000187168
22.27868273       1.61363  0.000196561
22.73330334       1.61419  0.000201985
23.18792394       1.60338  0.000207774
23.64254455       1.56491  0.000216807
24.09716515       1.51063  0.000213473
24.55178575       1.54418  0.000223545
25.00640636       1.61441  0.000235954
25.46102696       1.52345  0.000236301
25.91564757       1.37853  0.000236336
26.37026817       1.43889  0.000221749
26.82488878       1.58455  0.000216718
27.27950938       1.65566  0.000217699
27.73412999       1.68263    0.0002107
28.18875059       1.67993   0.00019808
28.6433712        1.63766  0.000185194
29.0979918         1.5468  0.000178315
29.55261241       1.43145  0.000173606
30.00723301       1.40585   0.00017391
30.46185362       1.47509  0.000162818
30.91647422       1.58267  0.000151425
31.37109482       1.67453  0.000130036
31.82571543       1.69601  0.000120516
32.28033603       1.63207   0.00011849
32.73495664       1.60799  0.000111538
33.18957724       1.67951  0.000114771
33.64419785        1.6802  0.000126285
34.09881845        1.6377  0.000133216
34.55343906       1.63227  0.000135252
35.00805966       1.60604    0.0001507
35.46268027       1.56039  0.000170771
35.91730087       1.59551    0.0001842
36.37192148       1.69638  0.000196675

