# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res10.snc -out forces_Re20_res10.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res10.snc:
#	Face (cyl): 70/812
# Number of measurements selected:
#        70 fields_res10.snc
#        70 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519058704408
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  3.9999999708608569 3.9921068929862669
# Integrated surface area (sum(n*A), mks, timestep 0):  -2.5378424639566077e-09 5.7429513436457746e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.009092412093 -1.15883e-06 -1.01454e-06
254.596631        2.82124  0.000124765
256.4151134       2.82055  0.000126023
258.2335959       2.82049   0.00011999
260.0520783       2.81951   0.00012159
261.8705607       2.81784  0.000118812
263.6890431       2.81697  0.000121858
265.5075255       2.81718  0.000118787
267.326008        2.81703  0.000119117
269.1444904       2.81597  0.000118893
270.9629728       2.81515  0.000123753
272.7814552       2.81547  0.000116522
274.5999376       2.81607  0.000119348
276.41842         2.81581   0.00012061
278.2369025       2.81528  0.000116489
280.0553849       2.81563  0.000120192
281.8738673       2.81666  0.000121912
283.6923497       2.81716  0.000122429
285.5108321       2.81702  0.000119636
287.3293146       2.81732  0.000118086
289.147797        2.81846  0.000122415
290.9662794       2.81949  0.000121314
292.7847618       2.81972  0.000119378
294.6032442       2.81996  0.000117832
296.4217266       2.82089  0.000123543
298.2402091       2.82208  0.000119696
300.0586915       2.82267  0.000117072
301.8771739       2.82281  0.000117328
303.6956563       2.82334  0.000121296
305.5141387        2.8244  0.000120137
307.3326212       2.82508  0.000119641
309.1511036       2.82516  0.000117755
310.969586        2.82525  0.000118831
312.7880684        2.8259  0.000117468
314.6065508       2.82649  0.000122769
316.4250333       2.82652  0.000120863
318.2435157       2.82626  0.000118164
320.0619981       2.82639  0.000119023
321.8804805       2.82676  0.000119172
323.6989629       2.82671   0.00011874
325.5174453       2.82626  0.000115929
327.3359278        2.8259   0.00012034
329.1544102       2.82596  0.000118859
330.9728926       2.82588  0.000119471
332.791375        2.82537  0.000118321
334.6098574       2.82469  0.000119826
336.4283399       2.82445  0.000118857
338.2468223       2.82433  0.000121582
340.0653047       2.82388  0.000116925
341.8837871       2.82316  0.000116371
343.7022695       2.82267  0.000115537
345.520752        2.82253   0.00012295
347.3392344       2.82226  0.000116121
349.1577168       2.82165  0.000118762
350.9761992       2.82109  0.000119433
352.7946816       2.82093    0.0001196
354.613164        2.82086  0.000119805
356.4316465        2.8205  0.000119207
358.2501289       2.82004  0.000117647
360.0686113       2.81992  0.000121921
361.8870937          2.82  0.000122495
363.7055761       2.81994  0.000119687
365.5240586       2.81965  0.000116796
367.342541        2.81956  0.000121357
369.1610234       2.81974  0.000123697
370.9795058       2.81998  0.000118338
372.7979882       2.81993  0.000120998
374.6164707       2.81993   0.00012248
376.4349531       2.82017  0.000121173
378.2534355       2.82052  0.000121102
380.0719179       2.82074  0.000115111
381.8904003       2.82078  0.000120834
383.7088827       2.82102  0.000121187
385.5273652       2.82139  0.000122092
387.3458476       2.82177    0.0001188
389.16433         2.82188  0.000116855
390.9828124       2.82204  0.000120356
392.8012948       2.82232  0.000119182
394.6197773       2.82274  0.000124781
396.4382597       2.82295   0.00012004
398.2567421       2.82301  0.000117093
400.0752245       2.82318  0.000116645
401.8937069       2.82349  0.000118816
403.7121893       2.82369  0.000123175
405.5306718       2.82374  0.000117415
407.3491542       2.82373  0.000116287
409.1676366       2.82391  0.000120041
410.986119        2.82406  0.000120587
412.8046014       2.82405  0.000117553
414.6230839       2.82394  0.000114721
416.4415663       2.82391  0.000119576
418.2600487       2.82397  0.000118228
420.0785311       2.82388   0.00012053
421.8970135       2.82376  0.000122457
423.715496        2.82356   0.00012037
425.5339784       2.82352  0.000121138
427.3524608       2.82344  0.000119454
429.1709432       2.82326  0.000117728
430.9894256       2.82304  0.000119633
432.807908        2.82289  0.000117716
434.6263905       2.82281  0.000119161
436.4448729       2.82268  0.000120138
438.2633553       2.82249  0.000124252
440.0818377       2.82227  0.000118059
441.9003201       2.82218  0.000121125
